名前	文明	種族	パワー	コスト	進化	効果	トリガー
リアクティブ・クロウラー	1	22	4000	5				
シンカイバビロデム	1	91	4000	4			4	
斬隠テンサイ・ジャニット	1	28,95	1000	3		31		
ジーニアス・ディザスター	1	0		3			1	
高波男	2	48	4000	4				
威牙忍ヤミカゼ・ドラグーン	2	54,95	2000	3		31		
魔光人形ドンキノフ	2	42,89	2000	3				
魔弾バレット・バイス	2	0,89		4		30		
爆炎ホワイトグレンオー	3	93,88	5000	5		6	2	
不知火フウタ・ドラグーン	3	54,95	3000	4				
ニンプウ・タイフーン	3	0		2				
熱刀 デュアル・スティンガー	3	1,88		2			2	
ハビエルネイチャー	4	94	4000	6			1	
土隠雲の超人	4	68,95	1000	4				
花風の浪士ムネミツ	4	72,88	3000＋	3		17		
土隠妖精ユウナギ	4	70,95	2000	2				
インフェルノ・サイン	2	0		5			1	
聖霊龍騎セイント・ボルシャック	3,0	11,50	9000＋	9		3,6,12		
エンドラ・パッピー	3,0	59	1000	3		12		
ヘヴンとバイオレンスの衝撃	3,0	0		7		12	1	
幻槍のジルコン	1,2	8	4000	4		1,12		
グランドクロス・斬鉄・ドラゴン	3	50,88	6000	6		3,25		
邪眼の銃鬼イヴァンII世	2	41,89	6000	7		3		
バルキリー・裂空・ドラゴン 	3	50,88	6000	6		3		
邪眼死龍ゴルドノフV世	2	44,89	7000	6		1,3		
天雷の精霊ユリウス	0	11,89	6000	6		3	2	
魔弾グローリー・ゲート	0	0,89		3		30		
魔弾アルカディア・エッグ	2	0,89		5			1	
ボルメテウス・剣誠・ドラゴン	3	50,88	8000	8		18,3	2	
風刃 カミカゼ・スピリット	3	1,88		3				
雷刃 ブシドー・スピリット	3	1,88		2				
魔光大帝ネロ・グリフィス	0,2	11,40,89	7000	8		12,1,3		
魔光死聖グレゴリアス	0,2	11,44,89	3000	4		12,1		
魔光騎聖ブラッディ・シャドウ	0,2	10,39,89	4500	2		12,1,18		
武装竜鬼ボルグゲンパク	3,4	50,66,88	7000	7		12,3		
武装竜鬼ジオゴクトラ	3,4	50,66,88	6000	6		12,25,3		
武装剣心シシオウ	3,4	75,88	2000＋	2		12		
龍刃 ヤマト・スピリット	3,4	1,88		3	1	12		
武装竜鬼バルガゼニガタ	3,4	50,66,88	6000	7		12,17,3		
魔光大帝ガイウス	0,2	11,40,89	6000	7		12,3		
竜星バルガライザー	3	50,88	7000	8		6,3	2	
光姫聖霊ガブリエラ	0	11,18	7000	7		18,3		
蒼神龍チェンジ・ザ・ワールド	1	83	6000	7		3		
超神星DEATH・ドラゲリオン	2	44,4	11000	8	10	19,3	2	
紫電城バルザーク	3	96		5				
大神秘ハルサ	4	68,88	9000	5	1	25,17,3		
無敵城シルヴァー・グローリー	0	96		6				
氷槍 パラディン・スピア	1	1,88		3				
黒騎士ザールフェルドII世	2	41,45,89	7000	5	1	3		
戦極竜ヴァルキリアス・ムサシ	3	58,50,88	11000	6	6	3		
緑神龍バグナボーン	4	66	9000	7		3	2	
ＪＫ神星シャバダバドゥー	0	4	12000	6	4	5	9	
天雷龍姫エリザベス	0	82,18,89	5000	5				
聖獣ピュアイカズチ	0	90,88	3000	5			2	
戦劇エンペラー・キンタ	1	28,88	6000	4	1	3		
チェレンコ	1	28	1000	2		26		
キサナティック・Ｘ	1	0		5				
威牙忍クロカゲ	2	39,95	1000	3		31		
嘆きの連鎖	2	0		3			1	
影武者 ソウル・ブリンガー	2	1,88		2				
バルザーク・熱風・ドラゴン	3	50,88	4000＋	6		33		
バルルン・紫蔵	3	59,88	3000	5				
ソフトナックル・ドラグーン	3	54	3000	2				
森獣妖精ポニーネイチャー	4	70,94	6000	7		3		
ノーダンディ・ネギオ	4	78	3000	4				
ハッスル・キャッスル	4	96		5				
天雷機士ナヴァール卿	0	80,89	3000	3				
光牙忍ライデン	0	9,95	1000	3		31		
セイント・キャッスル	0	96		2				
シンカイマンモー	1	91	6000	4		1		
フォース・リローデッド	1	0		1			1	
海底鬼面城	1	96		1				
邪眼将デス・ロマノフV世	2	44,40,89	7000	7		3		
威牙忍ヤミノザンジ	2	92,95	2000	5		31		
ローズ・キャッスル	2	96		3				
鬼神装甲クロウ・トドロキ	3	58,88	5000	2	1			
闘龍鬼ジャック・ライドウ	3	50,54,88	5000	5				
超鯱城	3	96		3				
森の格闘家ガンバレット	4	72	5000	1				
閃光 イナズマ・カブト	4	1,88		3				
雪要塞 ダルマンディ	4	96		3				
幽騎士ブリュンヒルデ	0	21,89	5000	2	1			
無限の精霊リーサ	0	11	4500	5		1		
天雷王機シルバー卿	0	23,89	1500	2		33		
スパーク・３シャイン	0	0		2			1	
氷牙封魔グリエルモ卿	1	38,89	3000	4				
アクア・アンカー	1	35	2000	4				
斬隠カイドウ・クロウラー	1	22,95	3000	3		1,33		
賀正電士メデタイン	1	23	2000	1		1		
魔光蟲ヴィルジニア卿	2	45,89	3000	5				
邪眼ローズ・アヴァクーム公	2	40,89	3000	4		33		
福腹人形コダマンマ	2	42	2000	2				
魔光ドラム・トレボール	2	36,89	1000	2				
マグマ・チョップスター	3	57	5000＋	5				
烈火イザヨイグレンオー	3	93,88	2000	5				
幻獣炎舞	3	0		2				
魔弾バクレツ・ストライク	3	0,89		2		30		
土隠の式神センブーン	4	79,95	5000＋	5		31		
斬雪妖精バケット・バケット	4	70,88	1000	5		33		
戊辰の超人	4	68,88	5000	3				
獣達の輪舞	4	0		1				
邪将グレイト・アシカガ	2	40,88	6000	6		3		
聖霊王エルレヴァイン	0	11	9500	5	1	3,28		
超銀河剣 THE FINAL	2	1,88		10				
薩摩の超人	4	68,88	13000	9		5		
暗黒皇グレイテスト・シーザー	2,3	50,44,89	13000	6	6	5,12	2	
超聖竜シデン・ギャラクシー	3,0	11,50,88	15000	5	6	12,19,5	2	
蒼狼スペルギア・ファントム	1	83,89,88	5000	5			2	
超銀河弾 HELL	3	0,89		10				
天牙海聖キング・サプライズ	0,1	11,34,89	6000	7		3,12		
流牙 シシマイ・ドスファング	4,1	1,88		5		12		
星狼凰マスター・オブ・デスティニー	2,4	4,89,88	12000	7	5	5,12	2	
ピュアザル	0	90,88	5000	5		1	1,2	
陰陽の伝道士セイメイ	0	17,88	3500	4				
天扇 ハタフリ・ハフリーズ	0	1,88		2				
氷牙レジェンダリー・ヴァンガード	1	34,89	11000	5	1	3	2	
蒼狼の始祖アマテラス	1	89,88,97	5000	6				
海魔城 ティーツー	1	96		4				
大邪眼バルクライ王	2	40,89	11000	7	1	3	2	
魔弾 ゴッド・ジェノサイダー	2	0,89		6				
怪魔城 ポチョムキン	2	96		1				
爆獣装甲ヴァルアーサー	3	58,89	6000＋	4	1	3		
爆獣ダキテー・ドラグーン	3	54,89	3000	6			1	
土隠龍ジライヤ	4	66,95	5000	5		31		
爆獣の式神ブラッキー	4	79,89	1000＋	3				
至宝 オール・イエス	0,2	1,88		2		12	2	
魔弾 ベター・トゥモロー	3,4	0,89		6		12,30		
迅雷の精霊ホワイト・ヘブン	0	11,88	6000	6		3		
光牙忍ソニックマル	0	20,95	3000	5		31		
聖装 ネビュラ・ウイング	0	1,88		2				
Ｔ２・オガプー	1	28	2000	3				
フォース・アゲイン	1	0		4			1	
賢弓 トライ・スネーク	1	1,88		2			2	
邪戦将ヒゲマロ	2	88,40	3000	5		25		
ヤミノカムスター	2	92	1000	3				
邪装 コウモリック・チェーン	2	1,88		2				
バイオレンス・迅雷・ドラゴン	3	50,88	6000	6		25,3		
爆獣パプラ・プーラプラ	3	59,89	3000	4				
魔弾 クリティカル・デストロイヤー	3	0,89		3		30		
爆獣パンダ・ブーリン	4	72,89	6000	9		3		
西南の超人	4	68,88	3000	4				
大菜城 パラダイスダンディ	4	96		2				
幽玄武士オラシオン	0	21,88	6000	5	1	3		
武力の使徒ウコン	0	10,88	4000	3		1		
予言者キビダンボーラー	0	20,88	3500	2				
天装 ニチリーン・ニョライ	0	1,88		1				
蒼狼アクア・ブレイド	1	35,89,88	3000	3				
ネンブツ・クリネッコ	1	25,88	1000	3				
コスモ・ポリタン	1	30	1000	2		1	5	
フォーチュン・スロット	1	0		4			1	
貴星虫イザハヤテ	2	45,97,88	4000	4				
鉄甲虫ミカヅキ・ワーム	2	45,88	1000	2			2	
戦力外通告	2	0		4			1	
邪扇 エアロ・フウゲツ	2	1,88		1			2	
爆獣イナバ・ギーゼ	3	56,97,89	3000	3				
爆獣マグヌスグレンオー	3	93,89	2000	3				
爆獣工師ピーカプ・フィリッパ	3	63,89	1000＋	2				
魔弾 ソード・ランチャー	3	0,89		5		30		
爆獣の超人	4	68,89	4000	5			1	
爆獣マチュー・スチュアート	4	72,89	2000	4				
旋風 カゼマルネイチャー	4	94,95	2000＋	3		31		
魔弾 パンダフル・ライフ	4	0,89		4		30		
白騎士の精霊アルドラ	0	11	15500	12		1,5		
神羅サンダー・ムーン	0	98,11	17500	10	1	5		
エンペラー・キリコ	1	28,97	13000	8	1	5		
神羅ブリザード・ムーン	1	98,99	9000	6	1	3	2	
神羅スカル・ムーン	2	98,40	12000	8	1	5		
死神の邪蹄ベル・ヘル・デ・ガウル	2	41	6000	7		3		
ボルシャック・NEX	3	50	6000+	6		3		
神羅ドラグ・ムーン	3	98,50	15000	7	1	5	2	
封滅の大地オーラヴァイン	4	100	6000	6		3		
神羅トルネード・ムーン	4	98,68	22000	7	1	32		
聖霊王イカズチ	0	11,97	8000	7	1	3		
真姫ヴィクトリア	0	18	6000	7		1,3		
クリスタル・アックス	1	35	11000	7	8	2,3		
エンペラー・ギュルム	1	28	7000	5	8	3		
死皇帝ハデス	2	40	9000	8	11	3		
神帝アージュ	2	84,97	8000+	7		3	2	
超竜バシュミカヅチ	3	50,97	8000	5	1	3		
ナインエッジ・夜叉・ドラゴン	3	50,88	6000	7		3		
宇宙巨匠ゼノン・ダヴィンチ	4	68,72,97	9000	11	1	3		
ゴッド・サーガ	4	0		13				
超神龍イエス・ヤザリス	0	82	5500	5	1	1		
光縛の精霊ファルケン	0	11	5000	7				
龍聖賢者グラン・ゼメキス	0	82,13	5500	6				
白騎士の精霊グラビテウス	0	11	4500	5				
ポジトロン・サイン	0	0		5			1	
爆進レーザー・ネット	0	0		4				
エンペラー・ニュロン	1	28	4000	5	8			
サイバーＸ・ザナドゥ	1	99	7000	7		3		
蒼神龍ヴェール・バビロニア	1	83,97	4000	5				
超電磁マクスウェルZ	1	99	8000	8	1	3		
神帝アナ	1	84,97	5000+	5				
爆進エナジー・スパイラル	1	0		4				
腐敗怪蟲ドグマグ	2	45,39	7000	5	1	3		
神滅恐皇グールギヌス	2	40,44	6000	7		3		
死神獣ヤミノゼキア	2	92	3000	5		1		
妖蟲恐皇ガイルス	2	45,40	3000	5				
ギガジョーカー	2	37	3000	4				
爆進ガブラ・ハンド	2	0		4				
超竜ヴァルト	3	50	8000	7	1	3		
火之鳥ペリュトン	3	59	3000	5	1			
火乃鳥ボレアス	3	59	5000	3	1			
レオンザード・ドラゴン	3	50	5000	6				
烈光戦士イザノミヒート	3	58,97	2000	3			2	
爆進メガバースト	3	0		7				
薔薇の使者	4	75,97	4000	6				
奇兵の超人	4	68,88	3000	6				
森獣ガロウネイチャー	4	94,88	4000+	5				
暁の金獅子コーン	4	72	2000+	3				
爆進イントゥ・ザ・ワイルド	4	0		6				
英知ソロモニアス	0	20	5500	3	1	1		
光器クシナダ	0	18,97	4000	4		1		
黙示聖者ファル・レーゼ	0	20,12,97	2000	4				
黙示聖獣カラドリウス	0	20,90,97	2500	3		1		
白騎士の霊騎ラジューヌ	0	9	1000	2				
進秘の使徒ラティウス	0	10,97	1000	2				
神羅スパイラル・ムーン	1	98,99	7000	6	1	3		
レジェンダリー・デスペラード 	1	34	6000	6	8	1,3	2	
エンペラー・ヒミコ	1	28,97	5000	3	1			
神帝マニ	1	84,97	4000+	4				
ツクモ・スパーク	1	25,97	2000	3				
アクア・エボリューター	1	35	1000	2				
魔星蟲クライシス・ワーム	2	45,97	5000	4	1			
死神術士デスマーチ	2	42	1000	1	11	1		
貴星虫ヤタイズナ	2	45,40,97	5000	6				
ゴッド・ガット	2	59	2000	4		1		
死神封魔ラヴァール	2	38	1000	2				
ファントム・バイツ	2	0		3			1	
神羅マグマ・ムーン	3	98,50	11000	7	1	3		
ワンケングレンオー~月下咆哮~	3	93	5000	5	1			
機真装甲ヴァルドリル	3	58,97	3000	4	1			
スピア・ルピア	3	59	1000	3				
爆裂B-BOY	3	58	1000	2				
チェーン・デスマッチ	3	0		4			1	
大作家シバ	4	72	6000	4	1	3		
禁門の超人	4	68,88	5000	5			2	
化召の術士	4	75,97	3000	4			2	
式神セメタリアン	4	79	1000	3				
ケットウ・チューリップ	4	78	1000	2				
エボリュート・パワー	4	0		2				
白騎士の聖霊王ウルファス	0	11	11000	11	1	3		
聖皇エール・マグナス	0	13	5500	3	1	1		
英知ダビドゥール	0	20,97	6500	2	1	1		
白騎士の黙聖セパ	0	20,10	2000	3				
黙示賢者ソルハバキ	0	20,13,97	1000	2				
予言者シュウ	0	20,97	2000	1		1		
エボリュート・クロック	0	0		1				
アストラル・ラッシュ	1	25	5000	4	1			
エンペラー・ティナ	1	28,97	4000	1	1	1		
ハリセン・フィッシュ	1	24,97	3000	4				
コマンダー・イノセント	1	80	3000	4		1		
キング・ブルファング	1	34	2000	3		　		
電磁封魔ロッキオ	1	28,38,97	1000	2				
電磁王機ビッコリ・コイルンガー	1	28,23,97	1000	2		2		
貴星虫アポルオン・ワーム	2	45,97	8000	4	1	3	2	
鬼面妖蟲ワーム・ゴワルスキー	2	45,43	4000	2	11			
死神戦鬼ベル・ヘル・デ・バラン	2	41	11000	5				
ジンロウ・ドレイク	2	54,97	2000	5		1	1	
妖蟲闘竜ベノム・ドラグーン	2	45,54	5000	3				
神帝ムーラ	2	84,97	3000+	3				
封魔トリノマンサー	2	38,97	1000	3		1		
腐敗妖蟲ジャネール	2	45,39	1000	2				
火之鳥ガルダン	3	59	4000+	4	1	3		
火之鳥ピルドル	3	59,97	5000	1	1			
パラボラ・ボラッピ	3	59,97	2000	5				
イザナ・キーザ	3	59,97	1000	4				
ファイアスモーク・ドレイク	3	54	3000	3				
ケングレンオー～出発（たびたち）～	3	93	1000	2				
大作家ホメロス	4	72,97	9000	5	1	3		
ダイヤモンド・カスケード	4	70	5000	5	8			
大作家ヴィクトル・ユニゴーン	4	72	5000	4	8			
霊騎幻獣チクタク・キューン	4	72,9	2000	2				
呪氷妖精マッド・サクラン	4	70	1000+　	2				
大冒犬ヤッタルワン	4	72	1000	2				
メガ・イノセントソード	4	1		2				
「必勝」の頂 カイザー「刃鬼」	5	108,125,109	14000	11		5		
「破滅」の頂 ユートピア・エヴァー	5	12,120,125	17000	12		1,5		
「修羅」の頂 VAN・ベートーベン	5	112,120,125	14000	11		5		
真実の名 サイバー・O・ホーリー	5	99,120	8000	8		3		
真実の名 ボルメテウス・ゼロ・ドラゴン	5	50,120	8000	8		3		
真実の名 メガパウンダー・マック	5	68,120	8000	8		3		
真実の名 白金の鎧	5	75,120	9000	7		3		
真実の名 アカデミアン	5	35,120	7000	7		3		
真実の名 修羅丸	5	58,120	6000	7		3	2	
真実の名 リアーナ・グローリー	5	18,120	6000	7		1,3		
「獅子」の頂 ライオネル・フィナーレ	5	11,120,125	12000	10		5		
偽りの羅刹 ゼキア・エクス・マキナ	5	41,120	8000	8		3	2	
真実の名 ハデスギル・スキル	5	44,120	8000	8		3		
「武」の頂 マキシマム・ザ・マックス	5	120,125	12000+	10				
神託のサトリ 最澄	5	122	5000+	6				
破界秘伝ナッシング・ゼロ	5	0		7				
天運ゼニスクラッチ	5	0		7			1	
天頂のゼロ・エッグ	2	113	3000	6				
進撃のトライストーン	3	0		7				
空腹の超人	4	68,123	4000	4				
戦慄のプレリュード	5	0		3				
虚言の凶気サイコホラー	0	41,123	13000	8		1		
エナジー・ゼロ	1	0		5				
破界の右手 スミス	5	124	11000	5				
幻盾の使徒ノートルダム	0	10,123	1000+	2				
デ・バウラ・チャージャー	0	0		5				
ツイート	1	28,123	1000+	3			2	
0点男	2	48,123	1000+	3			2	
漆黒の守護者ハラッカダン	2	12,123	4000	2		1		
鬼切丸	3	58,123	1000+	3				
ゼロ・ルピア	3	59,123	1000	3				
寝ボケまなこのたぬ吉さん	4	72,123	3000+	4				
フェアリー・クリスタル	4	0		3				
真実の名 アラシ・タイガー	0	11,120	12000	10		5		
真実の皇帝 アドレナリン・マックス	3	108,120,109,107	12000	9		5		
真実の王 ヴィヴァルディ	2	112,123	8000	8		3	2	
偽りの悪魔神王 デス・マリッジ	0,2	11,41,120	15000	10	1	5,12		
解放の女傑 ドラクロワ	3	58.109.107	6000	6		3		
砂場男	2	48,109	3000	5				
アクア・アドバイザー	1	35,109	2000	6			6	
逆転の精霊ヘブンイレブン8210式	0	11	11000	11		1,3		
DASH 総帥 グレッグ	0	58,81	2500	3				
真実の神羅 プレミアム・キリコ・ムーン	1	28,120,98,	13000	8	1	5		
パーロック～陰謀に立ち向かえ！～	1	28,97	4000	4				
カモン・ビクトリー	1	0		3			1	
シガーロス	1	0		2				
黒蟲奉行	2	45	7000	7	11	3		
究極男	2	48,109,107,88,89,97,3,95,2	3000	3				
デュエマの鬼！キクチ師範代	2	58	3000	3				
Tatsurion	3	50,75	6000	6		3		
ボルシャック・コロドラゴン	3	50	5656	5				
松本大先生	3	58	2000	3				
偉大なる無駄	3	0,127		1				
炎水剣オンセン・サバキ	1,3	1		4				
竜魔神王バルカディア・NEX	0,2,3	11,41,50	25000	15	3	12	2	
								
								
神託のメシア 鑑真	5	122	8000	8		1,3		
誇り高き破壊者 ムスタング	3	124	6000	6		3		
「無情」の極 シャングリラ	5	12,125	17000	11	1,8	19,5	2	
超絶奇跡 鬼羅丸	5	58,109,107,125	17000	12		5,6		
「十尾」の頂 バック・トゥ・ザ・オレ	5	11,125	11000	10		3	2	
真実の王 ヴィオラ・ソナタ	5	112,120	12000	9		5		
真実の王 ワーグナー	1	112,120	12000	9		5	2	
真実の名 ビバ・ラ・レヴォリューション	2	44,120	7000	7		3		
希望の絆 鬼修羅	3	108,58	8000	8		3		
「終」の極 イギー・スペシャルズ	5	120,125	21000	13	1,8	32	2	
真実の名 タイガー・レジェンド	0	11,120	7500	7		1,3		
真実の巨兵 サンダーバードRe:	1	23,120	7000	7	1	3	2	
R.S.F.K.	3	108,109,107	5000	7		6	2	
ドヤガオー	4	128	9000	7		3		
無情秘伝 LOVE×HATE	5	0		9				
守護聖天タテブエ・ヤッホー	0	12	6000	5	8	1,19,3		
絆の戦士ラプソディ	0	11,109,107	7000	7		3	2	
巨体の守護者ランチュン	0	12	4000+	3		1		
スクリプト	1	28	3000	8				
アクア・PTA	1	35	5000	5			2	
連隊の守護者ドクロンビー	2	12,120	12000	9		1,5		
絆の戦士ファンク	2	41,109,107	8000	7		3		
凶導の堕天ケーキ・カット	2	11	6000	6		3		
絆の戦士クラップ	3	50,109,107	11000	8		3		
真実の名 ニドギリ・ラゴン	3	50,120	7000	7		3		
ビッグ・パン・ダディ	4	72	7000	7		3		
ハンサム	4	128	6000+	6		3		
華麗の超人	4	68	3000	4			2	
墓地の守護者メガギョロン	5	12	1000	5		1		
フワット	0	128	4000	5				
神秘の守護者グッチー	0	12	500+	4		1		
ヘブンズ・サンダー	0	0		2				
キング・ラングレー	1	34	6000	6		3		
夏の日スパイラル	1	0		2			1	
ウスワライ	2	128	3000	5				
白骨の守護者ホネンビー	2	12	3000	4		1		
暗殺の守護者イカリング	2	12	2000	3		1		
ミサイル・バーストG	3	0		5			1	
土用の超人	4	68,120	8000	8		3		
パンダっ子パンダ	4	72	1000	3				
ノウメン	5	128	6000	4				
赤鼻の守護者タッツミー	0	12	2000	3				
クイック・スパーク	0	0		3			1	
アクア・スタディ	1	35	4000	4		1		
迎撃機装インサート・ウィング	1	23	3000	4		1		
掃除機装サイクロン・クリア	1	23	2000	2				
エターナル・ブレイン	1	0		2				
切断の影シザー・ハンズ	2	39	4000	5			2	
